data_venda;vendas_dia;faturamento_dia;unidades_dia;ano;mes;dia_semana;log_faturamento
2021-04-01 23:18:15.225659;119;24072.3;292;2021;4;3;10.088858621504391
2021-04-02 23:18:15.225659;159;30880.8;396;2021;4;4;10.337922292595348
2021-04-03 23:18:15.225659;123;25142.2;316;2021;4;5;10.132342761235638
2021-04-04 23:18:15.225659;152;28318.70001;387;2021;4;6;10.25131295488432
2021-04-05 23:18:15.225659;147;25890.5;357;2021;4;0;10.161670008494854
2021-04-06 23:18:15.225659;130;22795.4;329;2021;4;1;10.034357907739004
2021-04-07 23:18:15.225659;123;23807.50001;314;2021;4;2;10.077797939176397
2021-04-08 23:18:15.225659;142;28051.5;349;2021;4;3;10.241833033539022
2021-04-09 23:18:15.225659;149;30952.0;380;2021;4;4;10.3402252039484
2021-04-10 23:18:15.225659;129;27453.0;305;2021;4;5;10.220267155811605
2021-04-11 23:18:15.225659;126;24730.1;306;2021;4;6;10.115816839914432
2021-04-12 23:18:15.225659;133;27726.1;349;2021;4;0;10.230165553263578
2021-04-13 23:18:15.225659;142;30593.2;361;2021;4;1;10.328565727491366
2021-04-14 23:18:15.225659;132;26522.2;326;2021;4;2;10.185775100670602
2021-04-15 23:18:15.225659;140;28451.9;360;2021;4;3;10.256005367575808
2021-04-16 23:18:15.225659;143;25419.0;342;2021;4;4;10.143291544743445
2021-04-17 23:18:15.225659;138;26302.7;342;2021;4;5;10.177464892681378
2021-04-18 23:18:15.225659;145;28685.6;353;2021;4;6;10.264185393761753
2021-04-19 23:18:15.225659;159;32724.30001;396;2021;4;0;10.39590375834494
2021-04-20 23:18:15.225659;113;23743.8;297;2021;4;1;10.075118838121892
2021-04-21 23:18:15.225659;143;32416.3;363;2021;4;2;10.386447509896797
2021-04-22 23:18:15.225659;134;26169.90001;339;2021;4;3;10.172403385838455
2021-04-23 23:18:15.225659;134;28156.5;336;2021;4;4;10.245569027921851
2021-04-24 23:18:15.225659;137;28402.1;338;2021;4;5;10.25425357312191
2021-04-25 23:18:15.225659;143;29426.8;360;2021;4;6;10.28969508478059
2021-04-26 23:18:15.225659;140;26374.3;333;2021;4;0;10.180183245121263
2021-04-27 23:18:15.225659;132;29280.1;332;2021;4;1;10.284697535675587
2021-04-28 23:18:15.225659;150;33282.2;373;2021;4;2;10.412808044158814
2021-04-29 23:18:15.225659;135;30541.80001;337;2021;4;3;10.326884257936038
2021-04-30 23:18:15.225659;143;27422.80001;381;2021;4;4;10.219166528853412
2021-05-01 23:18:15.225659;130;28388.0;310;2021;5;5;10.253757025176343
2021-05-02 23:18:15.225659;136;28703.0;334;2021;5;6;10.264791764858522
2021-05-03 23:18:15.225659;123;25962.4;316;2021;5;0;10.164443132966301
2021-05-04 23:18:15.225659;107;21361.9;254;2021;5;1;9.96941105164878
2021-05-05 23:18:15.225659;147;26638.5;368;2021;5;2;10.190150355709422
2021-05-06 23:18:15.225659;123;25420.1;302;2021;5;3;10.14333481682057
2021-05-07 23:18:15.225659;161;31092.0;376;2021;5;4;10.344737992447081
2021-05-08 23:18:15.225659;118;22994.1;292;2021;5;5;10.043036428736041
2021-05-09 23:18:15.225659;116;20820.10001;287;2021;5;6;9.943722175067226
2021-05-10 23:18:15.225659;147;29448.4;379;2021;5;0;10.290428815357759
2021-05-11 23:18:15.225659;151;28710.6;368;2021;5;1;10.265056501273168
2021-05-12 23:18:15.225659;122;23976.6;332;2021;5;2;10.084875340169992
2021-05-13 23:18:15.225659;126;23176.7;307;2021;5;3;10.05094588850226
2021-05-14 23:18:15.225659;132;25149.2;318;2021;5;4;10.132621127782548
2021-05-15 23:18:15.225659;126;27715.1;342;2021;5;5;10.22976875076501
2021-05-16 23:18:15.225659;136;26962.5;349;2021;5;6;10.20223937855856
2021-05-17 23:18:15.225659;149;28325.0;349;2021;5;0;10.251535389774341
