cliente_id;idade;genero;uf;data_cadastro;faixa_etaria;dias_desde_cadastro;regiao
1;56;F;ES;2024-11-15;55+;500;Sudeste
2;46;M;PR;2024-09-06;46-55;570;Sul
3;32;Outro;ES;2022-07-24;26-35;1345;Sudeste
4;60;F;SC;2021-01-25;55+;1890;Sul
5;25;Outro;SP;2021-09-17;18-25;1655;Sudeste
6;38;M;ES;2022-05-12;36-45;1418;Sudeste
7;56;Outro;PR;2024-05-21;55+;678;Sul
8;36;M;SP;2021-04-25;36-45;1800;Sudeste
9;40;F;RS;2022-03-28;36-45;1463;Sul
10;28;M;PR;2022-12-01;26-35;1215;Sul
11;28;F;PR;2023-02-11;26-35;1143;Sul
12;41;F;RS;2025-07-30;36-45;243;Sul
13;53;F;RS;2025-02-22;46-55;401;Sul
14;57;F;RJ;2025-06-14;55+;289;Sudeste
15;41;F;MG;2025-10-23;36-45;158;Sudeste
16;20;M;ES;2025-04-01;18-25;363;Sudeste
17;39;Outro;ES;2025-08-10;36-45;232;Sudeste
18;19;F;RJ;2022-01-20;18-25;1530;Sudeste
19;41;F;SC;2022-09-05;36-45;1302;Sul
20;61;Outro;ES;2024-12-12;55+;473;Sudeste
21;47;F;RS;2023-09-16;46-55;926;Sul
22;55;F;RJ;2021-08-07;46-55;1696;Sudeste
23;19;M;ES;2023-05-30;18-25;1035;Sudeste
24;38;F;ES;2022-07-11;36-45;1358;Sudeste
25;50;M;PR;2023-12-23;46-55;828;Sul
26;29;M;RJ;2021-12-16;26-35;1565;Sudeste
27;39;F;RS;2022-01-25;36-45;1525;Sul
28;61;F;SC;2023-03-15;55+;1111;Sul
29;42;F;ES;2022-01-12;36-45;1538;Sudeste
30;44;F;SC;2023-05-21;36-45;1044;Sul
31;59;F;MG;2021-03-07;55+;1849;Sudeste
32;45;M;RJ;2024-02-17;36-45;772;Sudeste
33;33;F;RJ;2023-01-16;26-35;1169;Sudeste
34;32;F;RJ;2021-01-08;26-35;1907;Sudeste
35;64;F;RS;2025-09-27;55+;184;Sul
36;61;M;RS;2025-10-29;55+;152;Sul
37;20;M;PR;2021-01-27;18-25;1888;Sul
38;54;F;RJ;2021-10-17;46-55;1625;Sudeste
39;24;M;PR;2021-01-28;18-25;1887;Sul
40;38;F;RS;2024-03-28;36-45;732;Sul
41;26;F;MG;2024-03-14;26-35;746;Sudeste
42;56;M;SP;2022-04-12;55+;1448;Sudeste
43;35;F;PR;2025-11-05;26-35;145;Sul
44;21;M;ES;2021-04-18;18-25;1807;Sudeste
45;42;M;RJ;2023-06-10;36-45;1024;Sudeste
46;31;F;SP;2022-03-15;26-35;1476;Sudeste
47;26;F;PR;2021-07-22;26-35;1712;Sul
48;43;M;SC;2023-02-16;36-45;1138;Sul
49;19;M;RS;2023-09-17;18-25;925;Sul
50;37;F;SC;2021-10-28;36-45;1614;Sul
51;45;F;ES;2022-03-14;36-45;1477;Sudeste
52;64;F;SP;2023-11-01;55+;880;Sudeste
53;24;M;MG;2023-04-17;18-25;1078;Sudeste
54;61;M;PR;2022-08-30;55+;1308;Sul
55;25;F;SC;2022-10-04;18-25;1273;Sul
56;64;F;SC;2024-02-01;55+;788;Sul
57;52;F;PR;2025-02-18;46-55;405;Sul
58;31;M;SC;2021-04-20;26-35;1805;Sul
59;34;F;MG;2022-10-05;26-35;1272;Sudeste
60;53;F;SC;2022-12-04;46-55;1212;Sul
61;57;F;PR;2024-01-22;55+;798;Sul
62;21;F;RJ;2023-03-12;18-25;1114;Sudeste
63;19;F;SC;2025-10-08;18-25;173;Sul
64;23;F;PR;2023-05-20;18-25;1045;Sul
65;59;Outro;RJ;2025-04-14;55+;350;Sudeste
66;21;F;SC;2023-07-08;18-25;996;Sul
67;46;F;SC;2025-09-19;46-55;192;Sul
68;35;Outro;PR;2023-04-29;26-35;1066;Sul
69;43;F;ES;2022-05-22;36-45;1408;Sudeste
70;61;F;ES;2021-06-26;55+;1738;Sudeste
71;51;F;SP;2025-01-02;46-55;452;Sudeste
72;27;M;ES;2022-10-30;26-35;1247;Sudeste
73;53;F;MG;2025-11-17;46-55;133;Sudeste
74;31;M;SP;2025-10-01;26-35;180;Sudeste
75;48;F;ES;2022-05-26;46-55;1404;Sudeste
76;32;F;RJ;2021-04-19;26-35;1806;Sudeste
77;25;M;RS;2023-05-22;18-25;1043;Sul
78;31;F;PR;2024-01-01;26-35;819;Sul
79;40;F;ES;2022-05-04;36-45;1426;Sudeste
80;57;M;RJ;2023-01-03;55+;1182;Sudeste
81;38;F;RS;2021-10-08;36-45;1634;Sul
82;33;F;SP;2023-06-22;26-35;1012;Sudeste
83;62;F;PR;2024-05-22;55+;677;Sul
84;35;F;ES;2025-01-20;26-35;434;Sudeste
85;64;F;SP;2025-05-30;55+;304;Sudeste
86;41;F;ES;2022-02-22;36-45;1497;Sudeste
